id,passo,curriculo,accuracy_treinamento,accuracy_teste,acuracy_questao_0,acuracy_questao_1,acuracy_questao_2,acuracy_questao_3,acuracy_questao_4,porcentagem,tipoescolha,acao,rewardexecution,rewardtotal
426,90000,ExecucaoManual_Acao_4_exec_1,0.94,0.9468686868686869,0.9994972347913524,1,1,0.7956609485368314,0.9393326592517695,"1,1,1,1,1",manual,2,0,0
425,88500,ExecucaoManual_Acao_4_exec_1,1,0.9493939393939393,0.9994972347913524,1,1,0.805247225025227,0.942366026289181,"1,1,1,1,1",manual,2,0,0
424,87000,ExecucaoManual_Acao_4_exec_1,0.96999997,0.946969696969697,1,1,1,0.79313824419778,0.9418604651162791,"1,1,1,1,1",manual,2,0,0
423,85500,ExecucaoManual_Acao_4_exec_1,0.96,0.9447474747474748,1,1,1,0.7916246215943491,0.9322548028311426,"1,1,1,1,1",manual,2,0,0
422,84000,ExecucaoManual_Acao_4_exec_1,0.96999997,0.9377777777777778,0.9994972347913524,1,1,0.7613521695257316,0.9282103134479271,"1,1,1,1,1",manual,2,0,0
421,82500,ExecucaoManual_Acao_4_exec_1,0.96999997,0.9456565656565656,1,1,1,0.7896064581231079,0.9388270980788676,"1,1,1,1,1",manual,2,0,0
420,81000,ExecucaoManual_Acao_4_exec_1,0.97999996,0.9411111111111111,1,1,0.9994921279837481,0.7729566094853683,0.9332659251769464,"1,1,1,1,1",manual,2,0,0
419,79500,ExecucaoManual_Acao_4_exec_1,0.96,0.9386868686868687,1,1,1,0.7623612512613521,0.9312436804853387,"1,1,1,1,1",manual,2,0,0
418,78000,ExecucaoManual_Acao_4_exec_1,0.96999997,0.9411111111111111,1,1,1,0.7795156407669022,0.9261880687563195,"1,1,1,1,1",manual,2,0,0
417,76500,ExecucaoManual_Acao_4_exec_1,0.97999996,0.9378787878787879,1,1,0.9989842559674962,0.7674066599394551,0.923154701718908,"1,1,1,1,1",manual,2,0,0
416,75000,ExecucaoManual_Acao_4_exec_1,0.95,0.944040404040404,1,0.9989909182643795,1,0.7901109989909183,0.9312436804853387,"1,1,1,1,1",manual,2,0,0
415,73500,ExecucaoManual_Acao_4_exec_1,0.97999996,0.9396969696969697,1,1,1,0.7709384460141272,0.9277047522750252,"1,1,1,1,1",manual,2,0,0
414,72000,ExecucaoManual_Acao_4_exec_1,0.91999996,0.9365656565656566,1,1,1,0.7593340060544904,0.9236602628918099,"1,1,1,1,1",manual,2,0,0
413,70500,ExecucaoManual_Acao_4_exec_1,0.95,0.9366666666666666,1,1,0.9994921279837481,0.7643794147325933,0.9196157735085946,"1,1,1,1,1",manual,2,0,0
412,69000,ExecucaoManual_Acao_4_exec_1,0.94,0.9266666666666666,1,1,1,0.7260343087790111,0.9074823053589485,"1,1,1,1,1",manual,2,0,0
411,67500,ExecucaoManual_Acao_4_exec_1,0.94,0.9331313131313131,1,1,1,0.7477295660948536,0.9180990899898888,"1,1,1,1,1",manual,2,0,0
410,66000,ExecucaoManual_Acao_4_exec_1,0.93,0.9318181818181818,1,1,1,0.736125126135217,0.923154701718908,"1,1,1,1,1",manual,2,0,0
409,64500,ExecucaoManual_Acao_4_exec_1,0.96,0.926969696969697,1,1,1,0.7230070635721494,0.9120323559150657,"1,1,1,1,1",manual,2,0,0
408,63000,ExecucaoManual_Acao_4_exec_1,0.93,0.9285858585858586,1,1,1,0.7356205852674067,0.9074823053589485,"1,1,1,1,1",manual,2,0,0
407,61500,ExecucaoManual_Acao_4_exec_1,0.95,0.918080808080808,1,1,1,0.6952573158425832,0.8953488372093024,"1,1,1,1,1",manual,2,0,0
406,60000,ExecucaoManual_Acao_4_exec_1,0.9,0.9224242424242424,1,1,1,0.7093844601412714,0.9029322548028311,"1,1,1,1,1",manual,2,0,0
405,58500,ExecucaoManual_Acao_4_exec_1,0.96,0.9131313131313131,1,1,1,0.6765893037336024,0.8892821031344793,"1,1,1,1,1",manual,2,0,0
404,57000,ExecucaoManual_Acao_4_exec_1,0.94,0.9138383838383838,1,1,1,0.6765893037336024,0.8928210313447927,"1,1,1,1,1",manual,2,0,0
403,55500,ExecucaoManual_Acao_4_exec_1,0.94,0.9090909090909091,1,1,1,0.6670030272452069,0.8786653185035389,"1,1,1,1,1",manual,2,0,0
402,54000,ExecucaoManual_Acao_4_exec_1,0.91999996,0.9009090909090909,1,1,1,0.6357214934409687,0.8690596562184024,"1,1,1,1,1",manual,2,0,0
401,52500,ExecucaoManual_Acao_4_exec_1,0.95,0.8993939393939394,1,1,1,0.6271442986881938,0.8700707785642062,"1,1,1,1,1",manual,2,0,0
400,51000,ExecucaoManual_Acao_4_exec_1,0.91999996,0.8901010101010101,0.9994972347913524,1,1,0.6009081735620585,0.8503538928210314,"1,1,1,1,1",manual,2,0,0
399,49500,ExecucaoManual_Acao_4_exec_1,0.9,0.8857575757575757,1,1,1,0.5807265388496469,0.8483316481294236,"1,1,1,1,1",manual,2,0,0
398,48000,ExecucaoManual_Acao_4_exec_1,0.9,0.8685858585858586,1,1,1,0.5201816347124117,0.8230535894843276,"1,1,1,1,1",manual,2,0,0
397,46500,ExecucaoManual_Acao_4_exec_1,0.85999995,0.8573737373737373,1,1,1,0.4788092835519677,0.8083923154701719,"1,1,1,1,1",manual,2,0,0
396,45000,ExecucaoManual_Acao_4_exec_1,0.88,0.8403030303030303,1,1,0.9994921279837481,0.42785065590312815,0.7745197168857432,"1,1,1,1,1",manual,2,0,0
395,43500,ExecucaoManual_Acao_4_exec_1,0.84999996,0.8243434343434344,1,1,1,0.39505549949545915,0.7269969666329625,"1,1,1,1,1",manual,2,0,0
394,42000,ExecucaoManual_Acao_4_exec_1,0.81,0.8106060606060606,1,1,0.9994921279837481,0.38042381432896066,0.673407482305359,"1,1,1,1,1",manual,2,0,0
393,40500,ExecucaoManual_Acao_4_exec_1,0.78999996,0.7976767676767677,1,1,0.9994921279837481,0.36680121089808276,0.6223458038422649,"1,1,1,1,1",manual,2,0,0
392,39000,ExecucaoManual_Acao_4_exec_1,0.81,0.7812121212121212,1,1,1,0.3481331987891019,0.5581395348837209,"1,1,1,1,1",manual,2,0,0
391,37500,ExecucaoManual_Acao_4_exec_1,0.72999996,0.7708080808080808,1,0.9994954591321897,1,0.3496468213925328,0.5050556117290192,"1,1,1,1,1",manual,2,0,0
390,36000,ExecucaoManual_Acao_4_exec_1,0.76,0.7514141414141414,1,1,1,0.3557013118062563,0.40141557128412536,"1,1,1,1,1",manual,2,0,0
389,34500,ExecucaoManual_Acao_4_exec_1,0.77,0.7272727272727273,0.9371543489190548,0.9984863773965691,0.9989842559674962,0.322401614530777,0.37967644084934277,"1,1,1,1,1",manual,2,0,0
388,33000,ExecucaoManual_Acao_4_exec_1,0.75,0.7381818181818182,1,1,1,0.33097880928355194,0.35995955510616784,"1,1,1,1,1",manual,2,0,0
387,31500,ExecucaoManual_Acao_4_exec_1,0.76,0.7402020202020202,1,1,1,0.34510595358224017,0.35591506572295245,"1,1,1,1,1",manual,2,0,0
386,30000,ExecucaoManual_Acao_4_exec_1,0.84,0.7394949494949495,0.9984917043740573,1,1,0.35973763874873865,0.3392315470171891,"1,1,1,1,1",manual,2,0,0
385,28500,ExecucaoManual_Acao_4_exec_1,0.77,0.7367676767676767,1,1,1,0.35065590312815337,0.33316481294236605,"1,1,1,1,1",manual,2,0,0
384,27000,ExecucaoManual_Acao_4_exec_1,0.76,0.7325252525252526,0.9994972347913524,1,0.9959370238699847,0.3385469223007064,0.32861476238624876,"1,1,1,1,1",manual,2,0,0
383,25500,ExecucaoManual_Acao_4_exec_1,0.78,0.7345454545454545,1,1,1,0.34006054490413723,0.3326592517694641,"1,1,1,1,1",manual,2,0,0
382,24000,ExecucaoManual_Acao_4_exec_1,0.74,0.7357575757575757,1,1,1,0.3365287588294652,0.34226491405460063,"1,1,1,1,1",manual,2,0,0
381,22500,ExecucaoManual_Acao_4_exec_1,0.78999996,0.7338383838383838,0.9989944695827049,1,1,0.3365287588294652,0.33367037411526795,"1,1,1,1,1",manual,2,0,0
380,21000,ExecucaoManual_Acao_4_exec_1,0.81,0.7257575757575757,0.9989944695827049,0.9994954591321897,0.9781615033011681,0.3274470232088799,0.32457027300303337,"1,1,1,1,1",manual,2,0,0
379,19500,ExecucaoManual_Acao_4_exec_1,0.78,0.7357575757575757,1,1,1,0.34006054490413723,0.33872598584428715,"1,1,1,1,1",manual,2,0,0
378,18000,ExecucaoManual_Acao_4_exec_1,0.76,0.7365656565656565,0.9994972347913524,1,0.9954291518537328,0.35973763874873865,0.3281092012133468,"1,1,1,1,1",manual,2,0,0
377,16500,ExecucaoManual_Acao_4_exec_1,0.75,0.7362626262626263,1,1,1,0.3602421796165489,0.32103134479271994,"1,1,1,1,1",manual,2,0,0
376,15000,ExecucaoManual_Acao_4_exec_1,0.76,0.7311111111111112,0.9989944695827049,1,0.98933468765871,0.32896064581231077,0.33822042467138524,"1,1,1,1,1",manual,2,0,0
375,13500,ExecucaoManual_Acao_4_exec_1,0.78999996,0.7311111111111112,0.9994972347913524,1,0.9989842559674962,0.34359233097880926,0.3134479271991911,"1,1,1,1,1",manual,2,0,0
374,12000,ExecucaoManual_Acao_4_exec_1,0.78,0.7312121212121212,0.9964806435394671,0.9949545913218971,0.9918740477399696,0.33804238143289606,0.3346814964610718,"1,1,1,1,1",manual,2,0,0
373,10500,ExecucaoManual_Acao_4_exec_1,0.75,0.7202020202020202,0.9653092006033183,0.9833501513622603,0.9746063991874048,0.346619576185671,0.33114256825075833,"1,1,1,1,1",manual,2,0,0
372,9000,ExecucaoManual_Acao_4_exec_1,0.74,0.661010101010101,0.85771744595274,0.9101917255297679,0.8704926358557643,0.34712411705348134,0.3195146612740142,"1,1,1,1,1",manual,2,0,0
371,7500,ExecucaoManual_Acao_4_exec_1,0.72999996,0.5941414141414142,0.7521367521367521,0.7825428859737639,0.7613001523616049,0.33703329969727547,0.33771486349848334,"1,1,1,1,1",manual,2,0,0
370,6000,ExecucaoManual_Acao_4_exec_1,0.65999997,0.5448484848484848,0.6923076923076923,0.6710393541876892,0.7018791264601321,0.3329969727547931,0.32608695652173914,"1,1,1,1,1",manual,2,0,0
369,4500,ExecucaoManual_Acao_4_exec_1,0.59,0.49323232323232324,0.5857214680744093,0.6104944500504541,0.6526155408836973,0.31281533804238143,0.30485338725985844,"1,1,1,1,1",manual,2,0,0
368,3000,ExecucaoManual_Acao_4_exec_1,0.51,0.46646464646464647,0.5937657114127702,0.6195761856710393,0.6023362112747588,0.2558022199798184,0.2608695652173913,"1,1,1,1,1",manual,2,0,0
367,1500,ExecucaoManual_Acao_4_exec_1,0.44,0.4122222222222222,0.5113122171945701,0.5958627648839556,0.5683087861858812,0.1987891019172553,0.1870576339737108,"1,1,1,1,1",manual,2,0,0
366,0,ExecucaoManual_Acao_4_exec_1,0.21,0.1416161616161616,0.058320764203117145,0.28456104944500504,0.2564753682072118,0.05600403632694248,0.05358948432760364,"1,1,1,1,1",manual,2,0,0
365,100500,ExecucaoManual_Acao_4_exec_0,0.95,0.9654545454545455,1,1,1,0.8963075366717248,0.9307030854830551,"1,1,1,1,1",manual,2,0,0
364,99000,ExecucaoManual_Acao_4_exec_0,0.91999996,0.968989898989899,1,1,1,0.9049064238745574,0.939807789580172,"1,1,1,1,1",manual,2,0,0
363,97500,ExecucaoManual_Acao_4_exec_0,0.96,0.9671717171717171,1,1,1,0.902377339403136,0.9332321699544764,"1,1,1,1,1",manual,2,0,0
362,96000,ExecucaoManual_Acao_4_exec_0,0.94,0.9667676767676767,1,1,1,0.9054122407688416,0.9281740010116338,"1,1,1,1,1",manual,2,0,0
361,94500,ExecucaoManual_Acao_4_exec_0,0.91999996,0.9607070707070707,0.9994946942900454,1,1,0.8796155791603439,0.9241274658573596,"1,1,1,1,1",manual,2,0,0
360,93000,ExecucaoManual_Acao_4_exec_0,0.95,0.9607070707070707,1,1,1,0.8811330298431967,0.9221041982802226,"1,1,1,1,1",manual,2,0,0
359,91500,ExecucaoManual_Acao_4_exec_0,0.94,0.963030303030303,0.9994946942900454,0.9984901862103673,1,0.8952959028831563,0.9215983813859383,"1,1,1,1,1",manual,2,0,0
358,90000,ExecucaoManual_Acao_4_exec_0,0.95,0.9622222222222222,1,0.9994967287367891,1,0.8882144663631766,0.9231158320687911,"1,1,1,1,1",manual,2,0,0
357,88500,ExecucaoManual_Acao_4_exec_0,0.96999997,0.9682828282828283,1,1,1,0.900354071825999,0.9408194233687405,"1,1,1,1,1",manual,2,0,0
